timestamp,meter_type,usage,unit
2024-01-02 01:00:00,water,3.081,L
2024-01-02 02:00:00,electricity,0.607,kWh
2024-01-02 02:00:00,water,3.227,L
2024-01-02 03:00:00,electricity,0.712,kWh
2024-01-02 03:00:00,water,2.892,L
2024-01-02 04:00:00,electricity,0.645,kWh
2024-01-02 04:00:00,water,3.245,L
2024-01-02 05:00:00,electricity,0.666,kWh
2024-01-02 05:00:00,water,2.744,L
2024-01-02 06:00:00,electricity,2.097,kWh
2024-01-02 06:00:00,water,33.581,L
2024-01-02 07:00:00,electricity,2.644,kWh
2024-01-02 07:00:00,water,42.711,L
2024-01-02 08:00:00,electricity,2.228,kWh
2024-01-02 08:00:00,water,45.341,L
2024-01-02 09:00:00,electricity,1.995,kWh
2024-01-02 09:00:00,water,43.51,L
2024-01-02 10:00:00,electricity,1.857,kWh
2024-01-02 10:00:00,water,15.497,L
2024-01-02 11:00:00,electricity,1.507,kWh
2024-01-02 11:00:00,water,14.078,L
2024-01-02 12:00:00,electricity,1.752,kWh
2024-01-02 12:00:00,water,16.89,L
2024-01-02 13:00:00,electricity,1.38,kWh
2024-01-02 13:00:00,water,19.939,L
2024-01-02 14:00:00,electricity,1.488,kWh
2024-01-02 14:00:00,water,20.713,L
2024-01-02 15:00:00,electricity,1.75,kWh
2024-01-02 15:00:00,water,20.565,L
2024-01-02 16:00:00,electricity,1.843,kWh
2024-01-02 16:00:00,water,16.238,L
2024-01-02 17:00:00,electricity,3.142,kWh
2024-01-02 17:00:00,water,32.308,L
2024-01-02 18:00:00,electricity,3.053,kWh
2024-01-02 18:00:00,water,39.735,L
2024-01-02 19:00:00,electricity,2.996,kWh
2024-01-02 19:00:00,water,40.358,L
2024-01-02 20:00:00,electricity,2.632,kWh
2024-01-02 20:00:00,water,39.301,L
2024-01-02 21:00:00,electricity,2.866,kWh
2024-01-02 21:00:00,water,17.062,L
2024-01-02 22:00:00,electricity,1.637,kWh
2024-01-02 22:00:00,water,20.159,L
2024-01-02 23:00:00,electricity,1.897,kWh
2024-01-02 23:00:00,water,22.42,L
2024-01-03 00:00:00,electricity,0.71,kWh
2024-01-03 00:00:00,water,3.175,L
2024-01-03 01:00:00,electricity,0.565,kWh
2024-01-03 01:00:00,water,3.276,L
2024-01-03 02:00:00,electricity,0.709,kWh
2024-01-03 02:00:00,water,3.052,L
2024-01-03 03:00:00,electricity,0.66,kWh
2024-01-03 03:00:00,water,3.119,L
2024-01-03 04:00:00,electricity,0.64,kWh
2024-01-03 04:00:00,water,3.031,L
2024-01-03 05:00:00,electricity,0.728,kWh
2024-01-03 05:00:00,water,3.247,L
2024-01-03 06:00:00,electricity,2.461,kWh
2024-01-03 06:00:00,water,46.689,L
2024-01-03 07:00:00,electricity,2.439,kWh
2024-01-03 07:00:00,water,45.355,L
2024-01-03 08:00:00,electricity,2.044,kWh
2024-01-03 08:00:00,water,43.551,L
2024-01-03 09:00:00,electricity,2.162,kWh
2024-01-03 09:00:00,water,45.439,L
2024-01-03 10:00:00,electricity,1.773,kWh
2024-01-03 10:00:00,water,19.047,L
2024-01-03 11:00:00,electricity,1.883,kWh
2024-01-03 11:00:00,water,18.578,L
2024-01-03 12:00:00,electricity,1.634,kWh
2024-01-03 12:00:00,water,18.823,L
2024-01-03 13:00:00,electricity,1.684,kWh
2024-01-03 13:00:00,water,20.9,L
2024-01-03 14:00:00,electricity,1.526,kWh
2024-01-03 14:00:00,water,18.573,L
2024-01-03 15:00:00,electricity,1.511,kWh
2024-01-03 15:00:00,water,16.598,L
2024-01-03 16:00:00,electricity,1.855,kWh
2024-01-03 16:00:00,water,19.909,L
2024-01-03 17:00:00,electricity,3.508,kWh
2024-01-03 17:00:00,water,31.352,L
2024-01-03 18:00:00,electricity,3.067,kWh
2024-01-03 18:00:00,water,32.634,L
2024-01-03 19:00:00,electricity,3.399,kWh
2024-01-03 19:00:00,water,39.011,L
2024-01-03 20:00:00,electricity,3.201,kWh
2024-01-03 20:00:00,water,39.824,L
2024-01-03 21:00:00,electricity,2.89,kWh
2024-01-03 21:00:00,water,19.138,L
2024-01-03 22:00:00,electricity,1.778,kWh
2024-01-03 22:00:00,water,21.466,L
2024-01-03 23:00:00,electricity,1.98,kWh
2024-01-03 23:00:00,water,20.864,L
2024-01-04 00:00:00,electricity,0.684,kWh
2024-01-04 00:00:00,water,2.825,L
2024-01-04 01:00:00,electricity,0.794,kWh
2024-01-04 01:00:00,water,3.34,L
2024-01-04 02:00:00,electricity,0.507,kWh
2024-01-04 02:00:00,water,3.254,L
2024-01-04 03:00:00,electricity,0.743,kWh
2024-01-04 03:00:00,water,2.993,L
2024-01-04 04:00:00,electricity,0.692,kWh
2024-01-04 04:00:00,water,2.803,L
2024-01-04 05:00:00,electricity,0.666,kWh
2024-01-04 05:00:00,water,2.514,L
2024-01-04 06:00:00,electricity,2.251,kWh
2024-01-04 06:00:00,water,52.669,L
2024-01-04 07:00:00,electricity,1.787,kWh
2024-01-04 07:00:00,water,48.197,L
2024-01-04 08:00:00,electricity,2.182,kWh
2024-01-04 08:00:00,water,41.184,L
2024-01-04 09:00:00,electricity,2.31,kWh
2024-01-04 09:00:00,water,48.886,L
2024-01-04 10:00:00,electricity,1.97,kWh
2024-01-04 10:00:00,water,17.848,L
2024-01-04 11:00:00,electricity,1.627,kWh
2024-01-04 11:00:00,water,17.38,L
2024-01-04 12:00:00,electricity,1.577,kWh
2024-01-04 12:00:00,water,18.94,L
2024-01-04 13:00:00,electricity,1.63,kWh
2024-01-04 13:00:00,water,16.398,L
2024-01-04 14:00:00,electricity,1.873,kWh
2024-01-04 14:00:00,water,17.257,L
2024-01-04 15:00:00,electricity,1.772,kWh
2024-01-04 15:00:00,water,18.262,L
2024-01-04 16:00:00,electricity,1.625,kWh
2024-01-04 16:00:00,water,16.921,L
2024-01-04 17:00:00,electricity,3.247,kWh
2024-01-04 17:00:00,water,40.511,L
2024-01-04 18:00:00,electricity,3.119,kWh
2024-01-04 18:00:00,water,45.911,L
2024-01-04 19:00:00,electricity,3.388,kWh
2024-01-04 19:00:00,water,34.106,L
2024-01-04 20:00:00,electricity,2.872,kWh
2024-01-04 20:00:00,water,30.007,L
2024-01-04 21:00:00,electricity,2.988,kWh
2024-01-04 21:00:00,water,17.095,L
2024-01-04 22:00:00,electricity,1.649,kWh
2024-01-04 22:00:00,water,22.094,L
2024-01-04 23:00:00,electricity,1.465,kWh
2024-01-04 23:00:00,water,20.709,L
2024-01-05 00:00:00,electricity,0.707,kWh
2024-01-05 00:00:00,water,3.075,L
2024-01-05 01:00:00,electricity,0.704,kWh
2024-01-05 01:00:00,water,3.048,L
2024-01-05 02:00:00,electricity,0.687,kWh
2024-01-05 02:00:00,water,2.423,L
2024-01-05 03:00:00,electricity,0.67,kWh
2024-01-05 03:00:00,water,2.347,L
2024-01-05 04:00:00,electricity,0.589,kWh
2024-01-05 04:00:00,water,3.107,L
2024-01-05 05:00:00,electricity,0.658,kWh
2024-01-05 05:00:00,water,3.049,L
2024-01-05 06:00:00,electricity,2.154,kWh
2024-01-05 06:00:00,water,42.701,L
2024-01-05 07:00:00,electricity,2.052,kWh
2024-01-05 07:00:00,water,36.051,L
2024-01-05 08:00:00,electricity,2.195,kWh
2024-01-05 08:00:00,water,47.546,L
2024-01-05 09:00:00,electricity,2.321,kWh
2024-01-05 09:00:00,water,51.868,L
2024-01-05 10:00:00,electricity,2.04,kWh
2024-01-05 10:00:00,water,18.6,L
2024-01-05 11:00:00,electricity,1.746,kWh
2024-01-05 11:00:00,water,16.169,L
2024-01-05 12:00:00,electricity,1.76,kWh
2024-01-05 12:00:00,water,18.096,L
2024-01-05 13:00:00,electricity,1.703,kWh
2024-01-05 13:00:00,water,15.049,L
2024-01-05 14:00:00,electricity,1.387,kWh
2024-01-05 14:00:00,water,20.285,L
2024-01-05 15:00:00,electricity,1.711,kWh
2024-01-05 15:00:00,water,18.177,L
2024-01-05 16:00:00,electricity,1.726,kWh
2024-01-05 16:00:00,water,14.181,L
2024-01-05 17:00:00,electricity,3.85,kWh
2024-01-05 17:00:00,water,36.147,L
2024-01-05 18:00:00,electricity,3.029,kWh
2024-01-05 18:00:00,water,39.585,L
2024-01-05 19:00:00,electricity,3.182,kWh
2024-01-05 19:00:00,water,36.001,L
2024-01-05 20:00:00,electricity,3.078,kWh
2024-01-05 20:00:00,water,36.258,L
2024-01-05 21:00:00,electricity,2.728,kWh
2024-01-05 21:00:00,water,19.194,L
2024-01-05 22:00:00,electricity,1.912,kWh
2024-01-05 22:00:00,water,24.03,L
2024-01-05 23:00:00,electricity,1.845,kWh
2024-01-05 23:00:00,water,20.749,L
2024-01-06 00:00:00,electricity,0.606,kWh
2024-01-06 00:00:00,water,2.891,L
2024-01-06 01:00:00,electricity,0.511,kWh
2024-01-06 01:00:00,water,3.726,L
2024-01-06 02:00:00,electricity,0.64,kWh
2024-01-06 02:00:00,water,4.359,L
2024-01-06 03:00:00,electricity,0.483,kWh
2024-01-06 03:00:00,water,3.719,L
2024-01-06 04:00:00,electricity,0.595,kWh
2024-01-06 04:00:00,water,4.713,L
2024-01-06 05:00:00,electricity,0.685,kWh
2024-01-06 05:00:00,water,4.101,L
2024-01-06 06:00:00,electricity,1.644,kWh
2024-01-06 06:00:00,water,60.878,L
2024-01-06 07:00:00,electricity,1.722,kWh
2024-01-06 07:00:00,water,57.599,L
2024-01-06 08:00:00,electricity,1.843,kWh
2024-01-06 08:00:00,water,58.021,L
2024-01-06 09:00:00,electricity,1.733,kWh
2024-01-06 09:00:00,water,56.651,L
2024-01-06 10:00:00,electricity,1.186,kWh
2024-01-06 10:00:00,water,22.551,L
2024-01-06 11:00:00,electricity,1.414,kWh
2024-01-06 11:00:00,water,24.891,L
2024-01-06 12:00:00,electricity,1.255,kWh
2024-01-06 12:00:00,water,20.772,L
2024-01-06 13:00:00,electricity,1.47,kWh
2024-01-06 13:00:00,water,20.379,L
2024-01-06 14:00:00,electricity,1.275,kWh
2024-01-06 14:00:00,water,20.246,L
2024-01-06 15:00:00,electricity,1.622,kWh
2024-01-06 15:00:00,water,29.144,L
2024-01-06 16:00:00,electricity,1.294,kWh
2024-01-06 16:00:00,water,24.889,L
2024-01-06 17:00:00,electricity,2.446,kWh
2024-01-06 17:00:00,water,50.531,L
2024-01-06 18:00:00,electricity,2.733,kWh
2024-01-06 18:00:00,water,42.564,L
2024-01-06 19:00:00,electricity,2.216,kWh
2024-01-06 19:00:00,water,52.397,L
2024-01-06 20:00:00,electricity,2.585,kWh
2024-01-06 20:00:00,water,48.068,L
2024-01-06 21:00:00,electricity,2.858,kWh
2024-01-06 21:00:00,water,30.002,L
2024-01-06 22:00:00,electricity,1.178,kWh
2024-01-06 22:00:00,water,25.822,L
2024-01-06 23:00:00,electricity,1.43,kWh
2024-01-06 23:00:00,water,29.813,L
2024-01-07 00:00:00,electricity,0.576,kWh
2024-01-07 00:00:00,water,3.702,L
2024-01-07 01:00:00,electricity,0.606,kWh
2024-01-07 01:00:00,water,3.542,L
2024-01-07 02:00:00,electricity,0.492,kWh
2024-01-07 02:00:00,water,4.244,L
2024-01-07 03:00:00,electricity,0.487,kWh
2024-01-07 03:00:00,water,3.18,L
2024-01-07 04:00:00,electricity,0.591,kWh
2024-01-07 04:00:00,water,4.164,L
2024-01-07 05:00:00,electricity,0.578,kWh
2024-01-07 05:00:00,water,4.22,L
2024-01-07 06:00:00,electricity,1.871,kWh
2024-01-07 06:00:00,water,52.325,L
2024-01-07 07:00:00,electricity,1.888,kWh
2024-01-07 07:00:00,water,52.741,L
2024-01-07 08:00:00,electricity,1.701,kWh
2024-01-07 08:00:00,water,56.934,L
2024-01-07 09:00:00,electricity,1.868,kWh
2024-01-07 09:00:00,water,60.48,L
2024-01-07 10:00:00,electricity,1.445,kWh
2024-01-07 10:00:00,water,22.971,L
2024-01-07 11:00:00,electricity,1.304,kWh
2024-01-07 11:00:00,water,24.617,L
2024-01-07 12:00:00,electricity,1.666,kWh
2024-01-07 12:00:00,water,28.35,L
2024-01-07 13:00:00,electricity,1.471,kWh
2024-01-07 13:00:00,water,21.974,L
2024-01-07 14:00:00,electricity,1.237,kWh
2024-01-07 14:00:00,water,18.584,L
2024-01-07 15:00:00,electricity,1.496,kWh
2024-01-07 15:00:00,water,25.719,L
2024-01-07 16:00:00,electricity,1.267,kWh
2024-01-07 16:00:00,water,28.127,L
2024-01-07 17:00:00,electricity,2.726,kWh
2024-01-07 17:00:00,water,51.048,L
2024-01-07 18:00:00,electricity,2.82,kWh
2024-01-07 18:00:00,water,42.387,L
2024-01-07 19:00:00,electricity,2.32,kWh
2024-01-07 19:00:00,water,48.025,L
2024-01-07 20:00:00,electricity,2.771,kWh
2024-01-07 20:00:00,water,42.207,L
2024-01-07 21:00:00,electricity,2.632,kWh
2024-01-07 21:00:00,water,31.506,L
2024-01-07 22:00:00,electricity,1.519,kWh
2024-01-07 22:00:00,water,24.507,L
2024-01-07 23:00:00,electricity,1.67,kWh
2024-01-07 23:00:00,water,28.197,L
2024-01-08 00:00:00,electricity,0.67,kWh
2024-01-08 00:00:00,water,2.638,L
2024-01-08 01:00:00,electricity,0.635,kWh
2024-01-08 01:00:00,water,3.046,L
2024-01-08 02:00:00,electricity,0.625,kWh
2024-01-08 02:00:00,water,2.868,L
2024-01-08 03:00:00,electricity,0.63,kWh
2024-01-08 03:00:00,water,3.064,L
2024-01-08 04:00:00,electricity,0.681,kWh
2024-01-08 04:00:00,water,3.008,L
2024-01-08 05:00:00,electricity,0.71,kWh
2024-01-08 05:00:00,water,2.645,L
2024-01-08 06:00:00,electricity,2.293,kWh
2024-01-08 06:00:00,water,48.385,L
2024-01-08 07:00:00,electricity,2.415,kWh
2024-01-08 07:00:00,water,44.737,L
2024-01-08 08:00:00,electricity,2.234,kWh
2024-01-08 08:00:00,water,39.662,L
2024-01-08 09:00:00,electricity,2.555,kWh
2024-01-08 09:00:00,water,57.101,L
2024-01-08 10:00:00,electricity,1.671,kWh
2024-01-08 10:00:00,water,19.029,L
2024-01-08 11:00:00,electricity,2.183,kWh
2024-01-08 11:00:00,water,17.669,L
2024-01-08 12:00:00,electricity,1.823,kWh
2024-01-08 12:00:00,water,21.057,L
2024-01-08 13:00:00,electricity,1.569,kWh
2024-01-08 13:00:00,water,21.978,L
2024-01-08 14:00:00,electricity,1.532,kWh
2024-01-08 14:00:00,water,17.686,L
2024-01-08 15:00:00,electricity,1.799,kWh
2024-01-08 15:00:00,water,18.75,L
2024-01-08 16:00:00,electricity,1.678,kWh
2024-01-08 16:00:00,water,15.866,L
2024-01-08 17:00:00,electricity,3.309,kWh
2024-01-08 17:00:00,water,36.838,L
2024-01-08 18:00:00,electricity,3.235,kWh
2024-01-08 18:00:00,water,36.604,L
2024-01-08 19:00:00,electricity,3.066,kWh
2024-01-08 19:00:00,water,38.332,L
2024-01-08 20:00:00,electricity,2.827,kWh
2024-01-08 20:00:00,water,38.997,L
2024-01-08 21:00:00,electricity,2.621,kWh
2024-01-08 21:00:00,water,24.012,L
2024-01-08 22:00:00,electricity,1.639,kWh
2024-01-08 22:00:00,water,23.142,L
2024-01-08 23:00:00,electricity,1.863,kWh
2024-01-08 23:00:00,water,19.231,L
2024-01-09 00:00:00,electricity,0.701,kWh
2024-01-09 00:00:00,water,2.662,L
2024-01-09 01:00:00,electricity,0.601,kWh
2024-01-09 01:00:00,water,2.803,L
2024-01-09 02:00:00,electricity,0.698,kWh
2024-01-09 02:00:00,water,2.898,L
2024-01-09 03:00:00,electricity,0.713,kWh
2024-01-09 03:00:00,water,3.378,L
2024-01-09 04:00:00,electricity,0.626,kWh
2024-01-09 04:00:00,water,2.581,L
2024-01-09 05:00:00,electricity,0.697,kWh
2024-01-09 05:00:00,water,2.871,L
2024-01-09 06:00:00,electricity,2.244,kWh
2024-01-09 06:00:00,water,50.146,L
2024-01-09 07:00:00,electricity,1.976,kWh
2024-01-09 07:00:00,water,43.381,L
2024-01-09 08:00:00,electricity,2.311,kWh
2024-01-09 08:00:00,water,47.486,L
2024-01-09 09:00:00,electricity,2.356,kWh
2024-01-09 09:00:00,water,44.246,L
2024-01-09 10:00:00,electricity,1.902,kWh
2024-01-09 10:00:00,water,18.555,L
2024-01-09 11:00:00,electricity,1.897,kWh
2024-01-09 11:00:00,water,17.506,L
2024-01-09 12:00:00,electricity,1.48,kWh
2024-01-09 12:00:00,water,19.441,L
2024-01-09 13:00:00,electricity,1.555,kWh
2024-01-09 13:00:00,water,14.663,L
2024-01-09 14:00:00,electricity,1.804,kWh
2024-01-09 14:00:00,water,17.215,L
2024-01-09 15:00:00,electricity,1.804,kWh
2024-01-09 15:00:00,water,18.641,L
2024-01-09 16:00:00,electricity,1.804,kWh
2024-01-09 16:00:00,water,19.153,L
2024-01-09 17:00:00,electricity,4.279,kWh
2024-01-09 17:00:00,water,44.218,L
2024-01-09 18:00:00,electricity,3.265,kWh
2024-01-09 18:00:00,water,35.74,L
2024-01-09 19:00:00,electricity,3.44,kWh
2024-01-09 19:00:00,water,44.158,L
2024-01-09 20:00:00,electricity,3.383,kWh
2024-01-09 20:00:00,water,34.534,L
2024-01-09 21:00:00,electricity,3.29,kWh
2024-01-09 21:00:00,water,26.087,L
2024-01-09 22:00:00,electricity,1.662,kWh
2024-01-09 22:00:00,water,24.707,L
2024-01-09 23:00:00,electricity,1.846,kWh
2024-01-09 23:00:00,water,20.034,L
2024-01-10 00:00:00,electricity,0.633,kWh
2024-01-10 00:00:00,water,3.111,L
2024-01-10 01:00:00,electricity,0.67,kWh
2024-01-10 01:00:00,water,2.982,L
2024-01-10 02:00:00,electricity,0.653,kWh
2024-01-10 02:00:00,water,3.225,L
2024-01-10 03:00:00,electricity,0.692,kWh
2024-01-10 03:00:00,water,2.92,L
2024-01-10 04:00:00,electricity,0.845,kWh
2024-01-10 04:00:00,water,2.889,L
2024-01-10 05:00:00,electricity,0.558,kWh
2024-01-10 05:00:00,water,3.493,L
2024-01-10 06:00:00,electricity,2.384,kWh
2024-01-10 06:00:00,water,44.467,L
2024-01-10 07:00:00,electricity,1.871,kWh
2024-01-10 07:00:00,water,49.463,L
2024-01-10 08:00:00,electricity,2.126,kWh
2024-01-10 08:00:00,water,43.783,L
2024-01-10 09:00:00,electricity,2.474,kWh
2024-01-10 09:00:00,water,54.0,L
2024-01-10 10:00:00,electricity,1.727,kWh
2024-01-10 10:00:00,water,16.535,L
2024-01-10 11:00:00,electricity,1.531,kWh
2024-01-10 11:00:00,water,16.673,L
2024-01-10 12:00:00,electricity,1.593,kWh
2024-01-10 12:00:00,water,21.293,L
2024-01-10 13:00:00,electricity,1.833,kWh
2024-01-10 13:00:00,water,17.039,L
2024-01-10 14:00:00,electricity,1.591,kWh
2024-01-10 14:00:00,water,21.458,L
2024-01-10 15:00:00,electricity,1.753,kWh
2024-01-10 15:00:00,water,19.926,L
2024-01-10 16:00:00,electricity,1.724,kWh
2024-01-10 16:00:00,water,17.666,L
2024-01-10 17:00:00,electricity,2.888,kWh
2024-01-10 17:00:00,water,29.34,L
2024-01-10 18:00:00,electricity,3.751,kWh
2024-01-10 18:00:00,water,37.413,L
2024-01-10 19:00:00,electricity,3.285,kWh
2024-01-10 19:00:00,water,37.957,L
2024-01-10 20:00:00,electricity,2.463,kWh
2024-01-10 20:00:00,water,42.752,L
2024-01-10 21:00:00,electricity,3.146,kWh
2024-01-10 21:00:00,water,26.789,L
2024-01-10 22:00:00,electricity,1.602,kWh
2024-01-10 22:00:00,water,20.651,L
2024-01-10 23:00:00,electricity,1.862,kWh
2024-01-10 23:00:00,water,24.663,L
2024-01-11 00:00:00,electricity,0.632,kWh
2024-01-11 00:00:00,water,3.276,L
2024-01-11 01:00:00,electricity,0.679,kWh
2024-01-11 01:00:00,water,3.386,L
2024-01-11 02:00:00,electricity,0.721,kWh
2024-01-11 02:00:00,water,3.18,L
2024-01-11 03:00:00,electricity,0.746,kWh
2024-01-11 03:00:00,water,2.301,L
2024-01-11 04:00:00,electricity,0.604,kWh
2024-01-11 04:00:00,water,2.944,L
2024-01-11 05:00:00,electricity,0.663,kWh
2024-01-11 05:00:00,water,2.584,L
2024-01-11 06:00:00,electricity,2.125,kWh
2024-01-11 06:00:00,water,43.906,L
2024-01-11 07:00:00,electricity,2.085,kWh
2024-01-11 07:00:00,water,50.292,L
2024-01-11 08:00:00,electricity,2.625,kWh
2024-01-11 08:00:00,water,46.648,L
2024-01-11 09:00:00,electricity,2.321,kWh
2024-01-11 09:00:00,water,51.2,L
2024-01-11 10:00:00,electricity,1.5,kWh
2024-01-11 10:00:00,water,18.738,L
2024-01-11 11:00:00,electricity,1.874,kWh
2024-01-11 11:00:00,water,15.196,L
2024-01-11 12:00:00,electricity,2.08,kWh
2024-01-11 12:00:00,water,12.555,L
2024-01-11 13:00:00,electricity,1.893,kWh
2024-01-11 13:00:00,water,18.321,L
2024-01-11 14:00:00,electricity,1.455,kWh
2024-01-11 14:00:00,water,17.538,L
2024-01-11 15:00:00,electricity,1.633,kWh
2024-01-11 15:00:00,water,15.89,L
2024-01-11 16:00:00,electricity,1.933,kWh
2024-01-11 16:00:00,water,14.327,L
2024-01-11 17:00:00,electricity,2.87,kWh
2024-01-11 17:00:00,water,34.194,L
2024-01-11 18:00:00,electricity,3.226,kWh
2024-01-11 18:00:00,water,36.625,L
2024-01-11 19:00:00,electricity,3.328,kWh
2024-01-11 19:00:00,water,40.496,L
2024-01-11 20:00:00,electricity,2.802,kWh
2024-01-11 20:00:00,water,38.349,L
2024-01-11 21:00:00,electricity,3.07,kWh
2024-01-11 21:00:00,water,26.842,L
2024-01-11 22:00:00,electricity,1.16,kWh
2024-01-11 22:00:00,water,19.704,L
2024-01-11 23:00:00,electricity,1.54,kWh
2024-01-11 23:00:00,water,24.879,L
2024-01-12 00:00:00,electricity,0.669,kWh
2024-01-12 00:00:00,water,3.017,L
2024-01-12 01:00:00,electricity,0.601,kWh
2024-01-12 01:00:00,water,3.25,L
2024-01-12 02:00:00,electricity,0.798,kWh
2024-01-12 02:00:00,water,2.843,L
2024-01-12 03:00:00,electricity,0.588,kWh
2024-01-12 03:00:00,water,3.386,L
2024-01-12 04:00:00,electricity,0.656,kWh
2024-01-12 04:00:00,water,3.106,L
2024-01-12 05:00:00,electricity,0.695,kWh
2024-01-12 05:00:00,water,2.755,L
2024-01-12 06:00:00,electricity,2.552,kWh
2024-01-12 06:00:00,water,44.935,L
2024-01-12 07:00:00,electricity,1.91,kWh
2024-01-12 07:00:00,water,43.706,L
2024-01-12 08:00:00,electricity,2.49,kWh
2024-01-12 08:00:00,water,47.642,L
2024-01-12 09:00:00,electricity,2.233,kWh
2024-01-12 09:00:00,water,38.629,L
2024-01-12 10:00:00,electricity,1.548,kWh
2024-01-12 10:00:00,water,17.937,L
2024-01-12 11:00:00,electricity,1.795,kWh
2024-01-12 11:00:00,water,18.854,L
2024-01-12 12:00:00,electricity,1.75,kWh
2024-01-12 12:00:00,water,18.071,L
2024-01-12 13:00:00,electricity,1.613,kWh
2024-01-12 13:00:00,water,20.909,L
2024-01-12 14:00:00,electricity,1.728,kWh
2024-01-12 14:00:00,water,19.672,L
2024-01-12 15:00:00,electricity,1.65,kWh
2024-01-12 15:00:00,water,17.984,L
2024-01-12 16:00:00,electricity,1.735,kWh
2024-01-12 16:00:00,water,18.468,L
2024-01-12 17:00:00,electricity,3.293,kWh
2024-01-12 17:00:00,water,38.83,L
2024-01-12 18:00:00,electricity,3.579,kWh
2024-01-12 18:00:00,water,39.315,L
2024-01-12 19:00:00,electricity,2.706,kWh
2024-01-12 19:00:00,water,29.285,L
2024-01-12 20:00:00,electricity,3.748,kWh
2024-01-12 20:00:00,water,36.143,L
2024-01-12 21:00:00,electricity,2.486,kWh
2024-01-12 21:00:00,water,18.492,L
2024-01-12 22:00:00,electricity,1.69,kWh
2024-01-12 22:00:00,water,25.951,L
2024-01-12 23:00:00,electricity,1.817,kWh
2024-01-12 23:00:00,water,22.336,L
2024-01-13 00:00:00,electricity,0.577,kWh
2024-01-13 00:00:00,water,3.81,L
2024-01-13 01:00:00,electricity,0.527,kWh
2024-01-13 01:00:00,water,4.32,L
2024-01-13 02:00:00,electricity,0.55,kWh
2024-01-13 02:00:00,water,4.098,L
2024-01-13 03:00:00,electricity,0.534,kWh
2024-01-13 03:00:00,water,3.372,L
2024-01-13 04:00:00,electricity,0.529,kWh
2024-01-13 04:00:00,water,3.867,L
2024-01-13 05:00:00,electricity,0.609,kWh
2024-01-13 05:00:00,water,3.743,L
2024-01-13 06:00:00,electricity,1.89,kWh
2024-01-13 06:00:00,water,46.253,L
2024-01-13 07:00:00,electricity,1.699,kWh
2024-01-13 07:00:00,water,53.654,L
2024-01-13 08:00:00,electricity,1.989,kWh
2024-01-13 08:00:00,water,57.212,L
2024-01-13 09:00:00,electricity,1.881,kWh
2024-01-13 09:00:00,water,57.693,L
2024-01-13 10:00:00,electricity,1.518,kWh
2024-01-13 10:00:00,water,19.238,L
2024-01-13 11:00:00,electricity,1.492,kWh
2024-01-13 11:00:00,water,26.634,L
2024-01-13 12:00:00,electricity,1.288,kWh
2024-01-13 12:00:00,water,23.113,L
2024-01-13 13:00:00,electricity,1.325,kWh
2024-01-13 13:00:00,water,23.505,L
2024-01-13 14:00:00,electricity,1.509,kWh
2024-01-13 14:00:00,water,24.525,L
2024-01-13 15:00:00,electricity,1.49,kWh
